Image Name,Dice Score Class 0,Dice Score Class 1,Dice Score Class 2,Dice Score Class 3,Dice Score Class 4,Dice Score Class 5
141_cfd,0.9928025583499609,0.9198655860478409,0.7253106603252745,0.8909157240257358,0.5849802363834252,0.7878042782409879
142_cfd,0.9932897676242911,0.9039155539108663,0.794414274426063,0.9042769855899054,0.6151603489574922,0.8831168830473737
143_cfd,0.9933704488204202,0.8827730816537073,0.7986194078323882,0.8889876981044926,0.6685340796745712,0.8709510808772264
144_cfd,0.995793830814708,0.9210447671435631,0.828833843354068,0.9134366923097681,0.3945945935281227,0.8612049047696454
145_cfd,0.9943129929410661,0.8864762162661005,0.8343758497641588,0.888256941972523,0.6082578040198814,0.9182183821750173
146_cfd,0.9835668724522385,0.8541831342990314,0.8216604030027911,0.8983247634933944,0.6985854181734653,0.7768481978017969
147_cfd,0.9918596143041651,0.8746709055250772,0.8231660229541401,0.9293908545921165,0.6873065004840456,0.9013838309612976
148_cfd,0.9923503664055123,0.8549912869769112,0.8479307023946268,0.9365158294486132,0.7073509005445896,0.8928512190336
149_cfd,0.992794795526206,0.888078119922305,0.8161196909227509,0.9166967181902819,0.7322834631254262,0.8946386567528073
14_cfd,0.9952972879859074,0.921971368702429,0.7725352109955862,0.9116798151026207,0.37627811783992204,0.7755281688434137
150_cfd,0.9909407405390126,0.8792658946524244,0.8112729573111865,0.9026694043321006,0.7398373968702492,0.8577350668119714
151_cfd,0.992012619139187,0.88675993507265,0.8533369213060633,0.9192495920446915,0.6817155748513368,0.8377136555010372
152_cfd,0.99332571531162,0.8637995258473552,0.813592710954545,0.9071500501697582,0.683853459044975,0.8820134354355177
153_cfd,0.9930903094876145,0.885502776009531,0.8400702985852218,0.9013475293792468,0.6723507908984765,0.8929020099801427
154_cfd,0.9904586168756584,0.8541597613051508,0.8447805081191386,0.9244837756748548,0.6240713215095522,0.8984022038072506
155_cfd,0.9929852233085817,0.8774786473763808,0.8261586369616855,0.9368142261398897,0.5243553001083735,0.8958158493111358
156_cfd,0.9926312570068455,0.8509864655005732,0.8257357181691473,0.9139285712653699,0.483754511762176,0.8474431513987997
157_cfd,0.9927349854313852,0.8691572743938922,0.7345932615163572,0.8903508769140505,0.5116279052769838,0.881441733230592
158_cfd,0.9916381294598035,0.8903833933017166,0.80514138796783,0.9255539612744215,0.6062717759472617,0.8655288336652748
