Image Name,Dice Score Class 0,Dice Score Class 1,Dice Score Class 2,Dice Score Class 3,Dice Score Class 4,Dice Score Class 5
119_cfd,0.9943528227615597,0.9001943119060122,0.8780608456893245,0.919026869840409,0.7867036000184161,0.9153265506305114
11_cfd,0.990004602605585,0.9060882656955825,0.8223961466518976,0.9234059096183114,0.592030359407912,0.0
120_cfd,0.9941793019212493,0.8614289700766516,0.8501118566119533,0.9239311491904625,0.6781249989404297,0.895784543220634
121_cfd,0.9932385452859395,0.878546872549718,0.8782479582631314,0.92679151819737,0.7129411756318339,0.9145780050371204
122_cfd,0.9944026099247093,0.8990070921560753,0.839930296031882,0.916779300846345,0.6118598374503237,0.8572898797843413
123_cfd,0.9933693707279148,0.8839368615980231,0.9045111710680929,0.9286546300336845,0.8106060598384411,0.9103615921658851
124_cfd,0.9947993951734948,0.8671814671145034,0.8718388339323105,0.9354632585866958,0.6206896542418446,0.8242398100443735
125_cfd,0.9939666138980706,0.8453119553262243,0.8551020405981883,0.9451789743719479,0.6059405928595236,0.9361620056956449
126_cfd,0.993791115224484,0.9217134416143142,0.8686685960801974,0.9261430244638849,0.7266355131698183,0.902700995032167
127_cfd,0.9959515812340863,0.8907036211423984,0.8626907071799701,0.9233285624773403,0.6402640253460989,0.9235068109298513
128_cfd,0.9936650872451843,0.9083541401944925,0.8422117326897466,0.9171717169658424,0.7163120554675318,0.9013275922854529
129_cfd,0.9938962970296541,0.8973684210012947,0.8721241303177838,0.9188896898127451,0.6397608361139598,0.9068480860566053
12_cfd,0.992785926513936,0.8535621849302846,0.8471303413468388,0.947483247475848,0.464944648588663,0.8548776283057706
130_cfd,0.9930224354872856,0.8847279110192767,0.902391336907446,0.952876467823268,0.6477093196718652,0.9192629814718857
131_cfd,0.9932993890000136,0.7979064662503877,0.8700757574109704,0.9307150794867145,0.6199999989666667,0.9033844942047043
132_cfd,0.9935243413692298,0.8559125084855835,0.8980258678151087,0.9332674244631294,0.6998535860909904,0.9247538677268106
